original_title,runtime,tagline,vote_average
In Cold Blood,134,xyz,7.4
The Nun's Story,149,Her Faith Remained Strong and True in the Face of Africa's Terrors!,7.4
Harper,121,Harper takes a case - and the payoff is murder.,6.2
Frenzy,116,Just an ordinary necktie used with a deadly new twist.,7.1
The Witch,92,Evil takes many forms.,6.3
I Got the Hook Up,93,A truckload of cell phones... turns into a boatload of cash!,5.4
She's the One,96,A romantic comedy about two brothers... and the one thing that came between them.,5.7
Gods and Monsters,105,xyz,6.8
El secreto de sus ojos,129,xyz,7.8
Train,94,You're in for a hell of a ride.,4.8
Evil Dead II,84,The Sequel To The Ultimate Experience In Grueling Terror,7.6
Pootie Tang,81,Too cool for words.,5.4
Sharknado,86,Enough said!,3.8
La otra conquista,105,The spirit of a people can never be conquered.,5.4
Trolljegeren,103,You believe it when you see it!,6.7
Ira & Abby,104,First comes love  then comes marriage  then comes therapy.,5.8
Winter Passing,98,Sometimes you go looking for something you want. . . and find what you need.,6.7
D.E.B.S.,91,Evil is so totally busted!,5.6
The Masked Saint,111,xyz,2.9
The Betrayed,98,What she doesn't know could kill her.,5.2
Taxman,104,In life only two things are certain  death and taxes.,2
The Secret,200,xyz,0
2:13,96,Killers Are Not Born ... They Are Made,4.6
Batman: The Dark Knight Returns  Part 2,78,Justice Returns... Vengeance Returns... Redemption Comes to Gotham.,7.9
Time to Choose,100,Climate change for good.,0
In the Name of the King III,85,xyz,3.3
Wicked Blood,92,The Ultimate Endgame,5.3
Dawn Patrol,86,Revenge comes at a price.,5
Lords of London,90,In this city  crime is a family business.,3.6
High Anxiety,94,The Master of Comedy takes on The Master of Suspense!,6.5
La Marche de l'empereur,80,In the harshest place on Earth  love finds a way.,6.9
Margin Call,107,Be first. Be smarter. Or cheat.,6.7
August,100,xyz,6.2
Choke,92,From the author of Fight Club,6
Whiplash,105,The road to greatness can take you to the edge.,8.3
Cidade de Deus,130,If you run you're dead... if you stay  you're dead again. Period.,8.1
Human Traffic,99,The Weekend has Landed!,6.8
To Write Love on Her Arms,118,Based on the True Story that started a Global Movement.,6.8
The Dead Girl,85,One life ends. Seven others begin.,6.4
Jagten,115,The lie is spreading.,7.9
A Christmas Story,94,Peace  Harmony  Comfort and Joy... Maybe Next Year.,7.4
Bella,91,One person can change your life forever,6.7
Class of 1984,98,Class of 1984. Is this the future?,6.2
Opposite Sex,96,A battle of the sexes  winner takes all.,4.1
Dreaming of Joseph Lees,92,xyz,8
Entre les murs,128,The dynamics of a multicultural class and its teacher will enlighten.,6.8
Rosemary's Baby,136,Pray for Rosemary's Baby,7.5
The Man Who Shot Liberty Valance,123,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford,7.4
Adam,99,A story about two strangers. One a little stranger than the other...,6.9
María  llena eres de gracia,101,Based on 10 000 true stories.,6.9
Beginners,105,This is what love feels like.,6.8
Feast,95,xyz,6.1
Animal House,109,It was the Deltas against the rules... the rules lost!,7
Goldfinger,110,Everything he touches turns into excitement!,7.2
Antiviral,110,What If You Could Feel Like They Do ...,5.7
It's a Wonderful Life,130,It's a wonderful laugh! It's a wonderful love!,8
Trainspotting,93,Choose life.,7.8
The Original Kings of Comedy,115,We Got Jokes,6.3
Paranormal Activity 2,91,In 2009 you demanded it. Nothing can prepare you for what's next.,5.7
Waking Ned,91,How far would you go to win a fortune!,7.4
Bowling for Columbine,120,One nation under the gun.,7.3
归来,111,xyz,6.9
A Nightmare on Elm Street Part 2: Freddy's Revenge,87,Someone is coming back to Elm Street!,5.7
A Room with a View,117,xyz,6.9
The Purge,86,One night a year  all crime is legal.,6
Sinister,110,Once you see him  nothing can save you.,6.7
Martin Lawrence Live: Runteldat,113,xyz,5
Cat on a Hot Tin Roof,108,Just one pillow on her bed ... and just one desire in her heart!,7.6
Beneath the Planet of the Apes,95,An army of civilized apes...A fortress of radiation-crazed super humans...Earth's final battle is about to begin - Beneath the atomic rubble of what was once the city of New York!,6.2
Air Bud,98,He Sits. He Stays. He Shoots. He Scores.,5.3
Pokémon 3: The Movie,93,Pokémon: Spell of the Unknown,5.9
Friday the 13th Part VI: Jason Lives,86,Kill or be killed!,5.7
The Bridge on the River Kwai,161,It spans a whole new world of entertainment!,7.7
Spaced Invaders,100,xyz,4.7
Family Plot,121,There’s no body in the family plot.,6.7
The Apartment,125,Movie-wise  there has never been anything like it - laugh-wise  love-wise  or otherwise-wise!,8.1
Jason Goes to Hell: The Final Friday,87,Evil has finally found a home.,4.2
Torn Curtain,128,It tears you apart with suspense!,6.4
Dave Chappelle's Block Party,100,xyz,6.4
Slow West,84,Wanted Dead or Dead,6.6
Krush Groove,97,It's chillin'!,7
Next Day Air,84,xyz,5.3
Elmer Gantry,146,If there was a dollar to be made - Gantry would make it... If there was a soul to be saved - Gantry would save it...,7.3
Judgment at Nuremberg,186,The event the world will never forget,7.6
Trippin',94,He's a legend in his own mind.,4.5
Red River,133,Big as the men who faced this challenge! Bold as the women who loved them!,7.3
Phat Girlz,99,xyz,3.7
Before Midnight,108,Everything's better with maturity.,7.4
Teen Wolf Too,95,High school was easy. But college is a whole different ANIMAL.,3.8
Phantasm II,97,The ball is back!,6.3
Woman Thou Art Loosed,94,xyz,5
Real Women Have Curves,86,xyz,5.8
Water,115,xyz,6.8
East Is East,97,A comedy of families  a chip shop... and a very randy dog.,6.5
Whipped,82,Never underestimate the power of a woman.,3.1
Kama Sutra - A Tale of Love,117,xyz,5.7
Please Give,90,xyz,6
Willy Wonka & the Chocolate Factory,100,It's Scrumdiddlyumptious!,7.4
Warlock: The Armageddon,98,xyz,5.2
8 Heads in a Duffel Bag,95,A mindless comedy.,5.4
Days of Heaven,94,Your eyes... Your ears... Your senses... will be overwhelmed.,7.6
Thirteen Conversations About One Thing,104,Ask yourself if you're really happy.,6.4
Jawbreaker,87,Suck it and see...,5.9
Basquiat,108,In 1981  A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History.,6.6
Frances Ha,86,xyz,7.2
Tsotsi,94,In this world... Redemption comes just once.,6.9
Happiness,139,Finding happiness can be a tragic comedy.,7.4
DysFunktional Family,89,xyz,6.1
Tusk,102,Let me tell you a story...,5.1
올드보이,120,15 years of imprisonment  five days of vengeance,8
Letters to God,110,xyz,6.5
Hobo with a Shotgun,86,Delivering justice  one shell at a time...,5.7
Compadres,101,xyz,5.2
Freeway,110,Her life is no fairy tale.,6.5
Love's Abiding Joy,87,xyz,5.8
Fish Tank,123,Live  love and give as good as you get.,6.9
Damsels in Distress,99,For these girls... it's not what you learn  it's whom you educate.,5.6
Creature,176,Death from the depths,4
Bachelorette,87,Old habits party hard.,5.3
Brave New Girl,120,xyz,3.7
Tim and Eric's Billion Dollar Movie,94,xyz,5.2
Sommersturm,98,xyz,6.7
Fort McCoy,0,xyz,6.3
Chain Letter,96,If you don't forward it  you die.,3.9
Just Looking,97,A voyeuristic coming-of-age comedy.,5.8
The Divide,112,The lucky ones died in the blast,5.7
The Eclipse,88,If there is life after death - love lives on,6.1
Demonic,83,Every House Has It's Secrets,4.9
My Big Fat Independent Movie,80,The lowbrow comedy for the highbrow crowd.,3
The Deported,90,xyz,0
Tanner Hall,96,xyz,5.4
Open Road,85,xyz,5.2
They Came Together,84,He came...She came...They both came,5.3
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,80,Based on true events... that may not have happened,2.9
Never Back Down 2: The Beatdown,90,xyz,5.8
Point Blank,92,There are two kinds of people in his up-tight world: his victims and his women. And sometimes you can't tell them apart.,7.1
Four Single Fathers,100,Comedy,0
Enter the Dangerous Mind,88,xyz,4.8
Something Wicked,95,xyz,4.6
AWOL-72,79,72 Hours On The Clock. Starting Now...,2.8
Iguana,88,xyz,6
Chicago Overcoat,95,The glory days are back,6.1
Barry Munday,95,A comedy that hits you right where it counts.,6.3
Central do Brasil,113,He was looking for the father he never knew. She was looking for a second chance.,7.6
Pocketful of Miracles,136,You have to see it to believe it!,7.3
Close Range,80,Colton MacReady...is coming home.,4.9
Boynton Beach Club,105,xyz,6.8
Amnesiac,90,What he can't remember is killing him.,4.1
Freakonomics,93,Things you always thought you knew but didn't,6.6
Haute tension,91,Hearts will bleed.,6.6
Griff the Invisible,93,He's a dreamer  stuck in the real world.,6.1
Unnatural,89,Some things were never meant to be.,4.3
Hustle & Flow,116,The music will inspire them. The dream will unite them. This summer get crunk.,6.9
Some Like It Hot,122,The movie too HOT for words!,8
Friday the 13th Part VII: The New Blood,88,Jason is back  but this time someone's waiting!,5.3
The Wizard of Oz,102,We're off to see the Wizard  the wonderful Wizard of Oz!,7.4
Young Frankenstein,106,The scariest comedy of all time!,7.7
Diary of the Dead,95,Where will you be when the end begins?,5.4
Lage Raho Munna Bhai,144,They're back... and they're not alone!,7.6
Ulee's Gold,112,xyz,6.5
The Black Stallion,118,From the moment he first saw the stallion  he knew it would either destroy him  or carry him where no one had ever been before…,7
Sardaarji,0,xyz,9.5
Rejsen til Saturn,90,xyz,4.9
Donovan's Reef,109,Gangway...For This Years BIG Adventure!,6
De jurk,103,xyz,7
A Guy Named Joe,120,A GUY - A GAL - A PAL - It's Swell!,6
Blazing Saddles,93,Never give a saga an even break!,7.2
Friday the 13th: The Final Chapter,91,Jason's Back  and this is the one you've been screaming for.,5.9
Ida,80,xyz,7.1
Maurice,134,xyz,7.1
Beer League,86,No Gut... No Glory.,5.3
Riding Giants,105,xyz,7.6
Los cronocrímenes,92,A trip back in time from the present to...,7
疯狂的赛车,99,xyz,7.4
Timber Falls,97,xyz,5.2
Singin' in the Rain,103,What a Glorious Feeling!,7.8
Fat  Sick & Nearly Dead,97,FAT  SICK & NEARLY DEAD is an inspiring film that chronicles Joe's personal mission to regain his health.,7.1
A Haunted House,86,This $*%! ain't paranormal.,5.4
2016: Obama's America,87,Love Him  Hate Him  You Don't Know Him,4.6
That Thing You Do!,108,In every life there comes a time when that dream you dream becomes that thing you do.,6.8
Halloween III: Season of the Witch,98,...and now the earth will run with blood again!,5
Escape from the Planet of the Apes,98,Meet baby Milo who has Washington terrified.,6.3
Hud,112,The man with the barbed-wire soul.,7.5
Kevin Hart: Let Me Explain,74,Witness the rise of a legend,7.1
My Own Private Idaho,104,It's not where you go  it's how you get there.,7.1
Garden State,102,xyz,7.1
Before Sunrise,105,Can the greatest romance of your life last only one night?,7.7
Sur le seuil,100,xyz,6.9
Jesus' Son,107,xyz,6.7
Saving Face,91,A romantic comedy about right  wrong and everything in between.,6.8
Brick Lane,102,xyz,5.2
Robot & Frank,85,Friendship doesn't have an off switch,6.8
My Life Without Me,106,xyz,7.2
The Spectacular Now,95,From the Writers of (500) Days of Summer,6.8
Religulous,101,Heaven help us.,7.2
Fuel,90,xyz,7
Valley of the Heart's Delight,100,The roar of the mob drowned out the truth.,7
Eye of the Dolphin,100,She found her voice in the ocean... And within herself.,7.1
8: The Mormon Proposition,80,Equality for some.,5.5
The Other End of the Line,106,xyz,6.1
Anatomie,103,Some study. Some are studied.,6.1
Sleep Dealer,90,Crossing the border just got easier. Plug into the new American dream.,6
Super,96,Shut up  crime!,6.6
Christmas Mail,89,xyz,5
Stung,87,Get inside  get away  just don't get stung,4.9
Antibirth,94,xyz,4.8
Get on the Bus,120,On October 16  1996  the one year anniversary of the Million Man March  Spike Lee invites you to lift your head  raise your voice  and...get on the bus.,7
Thr3e,101,xyz,4.8
Idiocracy,84,In the future  intelligence is extinct.,6.3
The Rise of the Krays,110,Brutal. Notorious. Legendary,4.5
This Is England,101,Run with the crowd  stand alone  you decide.,7.4
U.F.O.,101,Try to remain calm,3.1
Bathing Beauty,101,M.G.M's Mammoth Technicolor Musical Spectacle!,7
Go for It!,105,xyz,4.6
Dancer  Texas Pop. 81,97,in the middle of nowhere they had everything,10
Show Boat,107,It's NEW!,6.9
Redemption Road,91,xyz,4.7
The Calling,108,Pray for the Prey,5.6
The Brave Little Toaster,90,Imagine if Your Toaster Went on a Journey of its Own!,6.7
Fantasia,124,The most sensational sound you'll ever see!,7.2
8 Days,90,She never knew it could happen to her...,0
Friday the 13th Part III,95,There's nowhere to hide. We dare you to try.,5.7
Friday the 13th: A New Beginning,92,A New Beginning to the first step in terror.,5.1
The Last Sin Eater,117,xyz,6.2
Do You Believe?,115,xyz,6.6
Impact Point,90,xyz,5.7
The Valley of Decision,119,xyz,5.8
Eden,97,Survive at any cost.,5.6
Chicken Tikka Masala,90,xyz,3.5
There's Always Woodstock,90,Let your heart sing,5.4
Jack Brooks: Monster Slayer,85,...I used to be a plumber,5.7
The Best Years of Our Lives,172,Three wonderful loves in the best picture of the year!,7.6
Bully,113,It's 4 a.m... do you know where your kids are?,6.7
Elling,89,xyz,7
Mi America,126,xyz,0
[REC],78,One witness. One camera,7.1
Lies in Plain Sight,88,xyz,4.5
Sharkskin,0,xyz,0
Containment,77,No water. No power. No explanation. No escape.,5.1
The Timber,81,Fortunes will be made  lives will be lost.,4.1
From Russia with Love,115,The world's masters of murder pull out all the stops to destroy Agent 007!,6.9
The Toxic Avenger Part II,96,xyz,5.3
Sleeper,89,Woody Allen takes a nostalgic look at the future.,7
It Follows,100,It doesn't think  it doesn't feel  it doesn't give up,6.6
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,88,xyz,6.6
To Kill a Mockingbird,129,xyz,8
Mad Max 2,95,When all that's left is one last chance  pray that he's still out there ... somewhere!,7.3
醉拳二,102,He's got a secret weapon with a lot of kick.,7.2
Boys Don't Cry,118,A true story about finding the courage to be yourself.,7.2
Silent House,85,Experience 88 minutes of real fear  captured In real time,5.2
Das Leben der Anderen,137,Before the Fall of the Berlin Wall  East Germany's Secret Police Listened to Your Secrets.,7.9
Courageous,129,Honor Begins at Home.,6.8
The Hustler,134,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,7.6
Boom Town,119,Where Men Are Rough And Tough . . . And Like Their Women The Same Way !,6.5
Les triplettes de Belleville,80,xyz,7.3
Smoke Signals,89,xyz,6.6
American Splendor,101,Ordinary life is pretty complex stuff,7.1
Before Sunset,80,What if you had a second chance with the one that got away?,7.6
Amores perros,154,Love. Betrayal. Death.,7.6
Thirteen,100,It's happening so fast.,6.7
Gentleman's Agreement,118,xyz,6.8
Winter's Bone,100,Talking Just Causes Witnesses,6.8
Touching the Void,106,xyz,7.6
Alexander's Ragtime Band,106,An American Cavalcade!,4.8
Me and You and Everyone We Know,90,xyz,7
Inside Job,109,The film that cost $20 000 000 000 000 to make.,7.7
We Are Your Friends,96,The world is yours.,6.3
Ghost Dog: The Way of the Samurai,116,All assassins live beyond the law … only one follows the code,7.2
Harsh Times,120,Take A Ride To The Edge,6.3
Captive,97,Faith. Redemption. Survival.,5.6
Full Frontal,96,Everybody Needs A Release,4.8
Witchboard,98,It's more than just a game.,5.9
Shortbus,101,Open Your Mind. And Everything Else.,6.3
Vals Im Bashir,90,xyz,7.8
The Book of Mormon Movie  Volume 1: The Journey,120,2600 years ago  one family began a remarkable journey and set the course for a latter-day faith. This is their story.,5
No End in Sight,102,The American Occupation of Iraq. The Inside Story From the Ultimate Insiders.,7.2
The Diary of a Teenage Girl,98,Some things are best kept secret.,6.8
In the Shadow of the Moon,109,xyz,7.6
Meek's Cutoff,104,The Road to Civilisation is Not Always Civilised,6.5
Inside Deep Throat,92,It was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.,6.8
Dinner Rush,99,xyz,7.1
Clockwatchers,96,xyz,5.6
The Virginity Hit,120,xyz,4.6
Subway,104,An underground story where lives intertwine,6.3
House of D,97,xyz,6.1
Teeth,94,Every rose has its thorns.,5.2
Six-String Samurai,91,Vegas Needs a New King.,5.8
Hum To Mohabbat Karega,0,xyz,0
It's All Gone Pete Tong,90,xyz,7.1
Saint John of Las Vegas,84,xyz,5.9
24 7: Twenty Four Seven,96,xyz,6.3
Stonewall,129,Where Pride Began,5.2
Roadside Romeo,93,xyz,6.7
This Thing of Ours,100,xyz,5
The Lost Medallion: The Adventures of Billy Stone,97,Finding it is only the beginning.,5.6
The Last Five Years,94,There are two sides to every love story.,5.5
The Missing Person,95,John Rosow is a private investigator. And an alcoholic. He just got the case of his life.,6.4
Return of the Living Dead 3,97,She's to die for.,5.9
London,92,One young man's incredible journey of self-discovery,6.1
Sherrybaby,96,No one makes it alone.,6.3
Circle,87,In here… everything gets you killed.,6
Eden Lake,91,A weekend by the lake  with views to die for.,6.7
Plush,98,There's a fine line between love and obsession.,5.4
Lesbian Vampire Killers,86,After Twilight  The Real Party Starts.,5.3
Jerusalema,120,Welcome to the promised land.,6.8
Freeze Frame,99,xyz,6.9
Grave Encounters,92,They Were Searching For Proof.  They Found it.,6.1
Stitches,86,You'll die laughing...,5.5
Nine Dead,98,It doesn't have to end this way,5.2
To Be Frank  Sinatra at 100,190,xyz,0
Bananas,82,xyz,6.7
$upercapitalist,103,Money for Life,3.5
Rockaway,76,xyz,5.8
The Lady from Shanghai,87,I told you... you know nothing about wickedness,7.2
No Man's Land: The Rise of Reeker,88,xyz,4.4
Highway,97,It started as a desperate escape and became the wildest ride of their lives,5.6
Small Apartments,96,xyz,5.7
Coffee Town,87,xyz,6.7
The Ghastly Love of Johnny X,106,They Sing! They Dance! They're Juvenile Delinquents from Outer Space!,6.6
All Is Bright,107,All is busted. All is broke. All is bitter. All is BRIGHT.,5.3
Die Schlangengrube und das Pendel,85,UNBELIEVABLE! Until You See It With Your Own Eyes!,6.3
Straight A's,88,xyz,5.2
A Funny Thing Happened on the Way to the Forum,99,Something for Everyone!,6.1
Slacker Uprising,102,xyz,5.9
The Legend of Hell's Gate: An American Conspiracy,108,Justice was delieverd by the fastest gun.,3.9
Walking with the Dead,90,xyz,4.2
The Curse of Downers Grove,89,High school can be murder.,4.4
Shark Lake,92,In this lake you have to fight to survive,4.4
River's Edge,99,The most controversial film you will see this year.,6.7
Northfork,103,xyz,6.7
The Marine 4: Moving Target,90,xyz,5.8
Buried,94,170 000 sq miles of desert. 90 minutes of oxygen. No way out.,6.6
Submarine,97,A comedy that doesn't let principles stand in the way of progress.,7.4
The Square,88,What does it mean to risk your life for your ideals? How far will five revolutionaries go in defending their beliefs in the fight for their nation?,7.8
Chacun sa nuit,95,xyz,5.8
एबीसीडी,160,India's First 3D Dance movie,5.6
Man on Wire,94,1974. 1350 feet up. The artistic crime of the century.,7.5
Abandoned,82,xyz,5.8
Brotherly Love,89,xyz,6.9
The Last Exorcism,87,Believe In Him.,5.6
Nowhere Boy,98,As a boy all John Lennon needed was love.,7.2
A Streetcar Named Desire,125,...Blanche  who wanted so much to stay a lady...,7.6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,The hot-line suspense comedy,8
El Crimen del Padre Amaro,118,Lead us not into temptation,6.2
Beasts of the Southern Wild,93,I  gotta take care of mine.,6.8
Battle for the Planet of the Apes,93,The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!,5.5
Songcatcher,109,Fall under its spell..,5.6
Higher Ground,109,xyz,5.3
வாலு,155,Life is what u make it,6.7
The Greatest Movie Ever Sold,87,He's not selling out  he's buying in.,6.4
Ed and His Dead Mother,93,A family reunion with some minor complications.,5.5
Travellers and Magicians,108,The bitter and the sweet of temporary things.,6.8
Hang 'em High,114,The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!,6.7
Deadline - U.S.A.,87,xyz,6.9
Sublime,113,xyz,5.3
A Beginner's Guide to Snuff,87,xyz,0
Independence Daysaster,86,xyz,4.2
Dysfunctional Friends,101,There's a thin line between money and friends.,5
Lola rennt,81,Every second of every day you're faced with a decision that can change your life.,7.2
May,93,Be Careful... She Just Might Take Your Heart.,6.3
Against the Wild,90,Partners in survival. Friends for life.,4.9
La misma luna,106,The love between a mother and a son knows no Boundraries.,7
Conquest of the Planet of the Apes,88,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!,6.1
In the Bedroom,130,A young man. An older woman. Her ex-husband. Things are about to explode...,6.4
I Spit on Your Grave,108,It's Date Night,6.3
Happy  Texas,98,Escaped convicts disguised as beauty pageant experts? This could get ugly,5.5
My Summer of Love,86,The most dangerous thing to want is more.,6
Dabba,104,xyz,7.3
Yes,100,xyz,5.9
You Can't Take It With You,126,YOU'LL LOVE THEM ALL FOR GIVING YOU THE SWELLEST TIME YOU'VE EVER HAD!,7.2
From Here to Eternity,118,Pouring out of impassioned pages...brawling their way to greatness on the screen!,7.2
She Wore a Yellow Ribbon,103,John Ford's New and Finest Picture of the Fighting Cavalry!,7.1
Grace Unplugged,102,Would you give up what you need... to get everything you want?,6
Foolish,84,This big mouth is ready for the big time,6.3
N-Secure,0,xyz,4.3
سكر بنات,96,xyz,6.8
Out of the Dark,92,xyz,4.6
Ha-Buah,114,xyz,7.6
The Conversation,113,Harry Caul is an invader of privacy. The best in the business.,7.5
दिल जो भी कहे,0,xyz,0
La sirène du Mississipi,123,The Bride Came as Advertised...With an Unadvertised Special,6.7
I Love Your Work,111,xyz,6.5
Cabin Fever,99,You can't run from what's inside.,4.4
Waitress,108,If only life were as easy as pie,6.7
Bloodsport,92,The true story of an American ninja.,6.6
Mr. Smith Goes to Washington,129,Romance  drama  laughter and heartbreak... created out of the very heart and soil of America!,7.9
Kids,91,xyz,6.8
The Squid and the Whale,81,Joint custody blows.,6.9
Kissing Jessica Stein,97,When it comes to love  sometimes she just can't think straight.,5.9
Kickboxer: Vengeance,90,xyz,4.5
Spellbound,111,The maddest love that ever possessed a woman.,7.3
Exotica,103,In a world of temptation  obsession is the deadliest desire.,6.5
Buffalo '66,110,Billy Brown just got out of jail. Now he's going to serve some real time. He's going home.,7.1
Insidious,103,It's not the house that's haunted.,6.8
Repo Man,92,It’s 4 a.m. Do you know where your car is?,6.7
Nueve Reinas,114,Sticky & Square,7.4
The Gatekeepers,101,xyz,6.5
The Ballad of Jack and Rose,111,Selfhood begins with a walking away  and love is proved in the letting go.,6.5
The To Do List,104,She's going from straight A's to getting her first F.,5.5
Killing Zoe,96,xyz,6.1
The Believer,98,xyz,6.8
Snow Angels,106,Some will fall. Some will fly.,6.5
Unsullied,93,The Hunt Is On,3
Session 9,100,Fear is a place.,6.2
I Want Someone to Eat Cheese With,80,xyz,5.7
Mooz-lum,95,xyz,4.5
Hatchet,83,Stay out of the swamp.,5.7
Modern Times,87,He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs  cries and thrills to his priceless genius!,8.1
Stolen Summer,91,You saw the back-stabbing. Now see the final cut.,6.4
My Name Is Bruce,86,Fearless! Unstoppable! Ready For His Close-Up!,5.9
The Salon,0,Where you get more than just a hair cut!,3.5
Road Hard,97,xyz,6.6
Forty Shades of Blue,108,xyz,6
Amigo,128,xyz,6
Pontypool,93,Shut up or die.,6.6
Trucker,90,Some Things in life you can't leave behind,6.8
Me You and Five Bucks,90,A story about second  second chances,10
The Lords of Salem,101,We've been waiting... we've always been waiting,5.1
Housebound,109,Terror Gets Domesticated,6.5
Wal-Mart: The High Cost of Low Price,98,xyz,6.9
Fetching Cody,87,How far would you go for love?,6.8
Last I Heard,98,xyz,6
Closer to the Moon,112,xyz,6.4
Mutant World,85,xyz,2.6
Growing Up Smith,102,It’s better to stand out than to fit in.,7.4
Checkmate,102,xyz,4.2
#Horror,90,Death is trending.,3.3
Wind Walkers,93,xyz,7.5
Snow White and the Seven Dwarfs,83,The Happiest  Dopiest  Grumpiest  Sneeziest movie of the year.,6.9
La niña santa,106,She is both temptation and salvation.,6.8
Shalako,113,Sean Connery is Shalako! Shalako means action! Action means Bardot!,5.4
Incident at Loch Ness,94,xyz,5.9
The Dog Lover,101,She ended up on the wrong side of right.,5.3
GirlHouse,100,Enjoy the show.,5.2
La chambre bleue,75,xyz,6.2
House at the End of the Drive,91,It's where they died.,0
Batman,105,He's Here Big As Life In A Real Bat-Epic,6.1
Lock  Stock and Two Smoking Barrels,105,A Disgrace to Criminals Everywhere.,7.5
The Ballad of Gregorio Cortez,104,xyz,0
Festen,105,xyz,7.7
Trees Lounge,95,xyz,6.7
Vượt Sóng,135,xyz,5
The Basket,105,xyz,6.5
Eddie: The Sleepwalking Cannibal,79,Part muse. Part sleepwalking cannibal.,6.1
Kurmanjan Datka. Queen of the Mountains,135,xyz,0
Def-Con 4,88,The last defense. The last hope. The battle for the future of the world has begun.,2.8
The Hebrew Hammer,85,xyz,5.9
Neal 'n' Nikki,122,Nice is out...Naughty is in,2.3
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,82,xyz,3.2
Forget Me Not,103,xyz,5
Rebecca,130,The shadow of this woman darkened their love.,7.7
Friday the 13th Part 2,87,The body count continues...,6
The Lost Weekend,101,The screen dares to open the strange and savage pages of a shocking bestseller!,7.4
C.H.U.D.,88,They're not staying down there anymore!,5.3
Filly Brown,100,This is my life.,5.9
The Lion of Judah,87,The lamb who saved the world!,5.8
Niagara,92,A raging torrent of emotion that even nature can't control!,6.7
How Green Was My Valley,118,Millions Have Read This Great Novel... Millions more will see an even greater picture!,6.8
Da Sweet Blood of Jesus,123,xyz,4.1
Sex  Lies  and Videotape,100,xyz,6.7
Saw,103,Live or die. Make your choice.,7.2
Super Troopers,100,xyz,6.6
The Algerian,99,xyz,0
Los insólitos peces gato,87,xyz,5.7
Monsoon Wedding,114,A stressed father  a bride-to-be with a secret  a smitten event planner  and relatives from around the world create much ado about the preparations for an arranged marriage in India.,6.8
You Can Count on Me,111,xyz,6.8
The Trouble with Harry,99,A THRILLER with a difference!,6.9
But I'm a Cheerleader,85,A Comedy Of Sexual Disorientation.,6.5
Home Run,114,Freedom is possible,6.3
Reservoir Dogs,99,Every dog has his day.,8
The Blue Bird,88,xyz,6.4
Il buono  il brutto  il cattivo,161,For three men the Civil War wasn't hell. It was practice.,8.1
Que Horas Ela Volta?,110,xyz,7.8
Blue Like Jazz,106,Everybody belongs somewhere,5.8
Down & Out With The Dolls,88,Ain't Rock 'N' Roll a bitch.,0
Pink Ribbons  Inc.,97,Capitalizing on hope.,6.8
Certifiably Jonathan,85,xyz,0
Q,103,xyz,4.1
La Navaja De Don Juan,98,xyz,0
Grand Theft Parsons,88,It's better to burn out than to fade away.,6
Extreme Movie,88,UNRATED. A film with many happy endings...,3.9
The Charge of the Light Brigade,115,The reckless lancers sweep on and on - so that a woman's heart might not be broken! You're not fighting a single legion - you're fighting the entire British army  Surat Khan!,6.8
Below Zero,0,There's nothing scarier than a blank page.,4.4
Crowsnest,84,xyz,4.8
Airborne,91,There are two kinds of people: those who get AIRBORNE...and those who don't.,6.1
Cotton Comes to Harlem,97,Introducing COFFIN ED and GRAVEDIGGER  two detectives only a mother could love.,6.7
The Wicked Within,91,Every family has its demons. The truth will possess us all.,4.2
Bleeding Hearts,0,xyz,2
Waiting...,94,What happens in the kitchen ends up on the plate.,6.2
Dead Man's Shoes,90,He's in all of us.,7.2
From a Whisper to a Scream,99,Welcome to Oldfield. Stop in for a night of pure terror.,6.8
Sex With Strangers,0,xyz,5
Dracula: Pages from a Virgin's Diary,75,xyz,6.9
Faith Like Potatoes,97,xyz,6
Beyond the Black Rainbow,110,Beyond Science. Beyond Sanity. Beyond Control.,5.7
Serbuan maut,101,1 Ruthless Crime Lord  20 Elite Cops  30 Floors of Hell,7.3
The Dead Undead,90,How Do You Kill Something That's Already Dead?,3.1
The Vatican Exorcisms,0,The public were never meant to know,4.4
Casablanca,102,They had a date with fate in Casablanca!,7.9
Lake Mungo,84,If you've never seen a ghost... Look closer.,6.1
Rocket Singh: Salesman of the Year,156,Welcome to the world of sales boss!,7
Silent Running,89,Amazing companions on an incredible journey...that journeys beyond imagination!,6.3
